,position,title,result_id,type,link,snippet,resources,publication_info.summary,publication_info.authors,inline_links.serpapi_cite_link,inline_links.cited_by.total,inline_links.cited_by.link,inline_links.cited_by.cites_id,inline_links.cited_by.serpapi_scholar_link,inline_links.related_pages_link,inline_links.serpapi_related_pages_link,inline_links.versions.total,inline_links.versions.link,inline_links.versions.cluster_id,inline_links.versions.serpapi_scholar_link,inline_links.cached_page_link
0,0,Wearable sensing technology applications in construction safety and health,sZxUEJkA9S8J,Pdf,https://drive.google.com/file/d/1sb1ZEa7mrdSXx5AyUocPwfhX1D8JDLBy/view,… This section reviews kinematic and physiological sensors used for construction safety and health applications. Table 2 summarizes the types of sensors used to collect data from …,"[{'title': 'google.com', 'file_format': 'PDF', 'link': 'https://drive.google.com/file/d/1sb1ZEa7mrdSXx5AyUocPwfhX1D8JDLBy/view'}]","CR Ahn, SH Lee, C Sun, H Jebelli… - … of Construction …, 2019 - drive.google.com","[{'name': 'CR Ahn', 'link': 'https://scholar.google.com/citations?user=PJfny7sAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=PJfny7sAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'PJfny7sAAAAJ'}, {'name': 'SH Lee', 'link': 'https://scholar.google.com/citations?user=yKWiYAUAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=yKWiYAUAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'yKWiYAUAAAAJ'}, {'name': 'C Sun', 'link': 'https://scholar.google.com/citations?user=govYnCsAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=govYnCsAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'govYnCsAAAAJ'}, {'name': 'H Jebelli', 'link': 'https://scholar.google.com/citations?user=qiP3QQMAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=qiP3QQMAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'qiP3QQMAAAAJ'}]",https://serpapi.com/search.json?engine=google_scholar_cite&q=sZxUEJkA9S8J,90,"https://scholar.google.com/scholar?cites=3455668946480700593&as_sdt=2005&sciodt=0,5&hl=en",3455668946480700593,https://serpapi.com/search.json?as_sdt=2005&cites=3455668946480700593&engine=google_scholar&hl=en,"https://scholar.google.com/scholar?q=related:sZxUEJkA9S8J:scholar.google.com/&scioq=construction+safety+health&hl=en&as_sdt=0,5&as_ylo=2012",https://serpapi.com/search.json?as_sdt=0%2C5&as_ylo=2012&engine=google_scholar&hl=en&q=related%3AsZxUEJkA9S8J%3Ascholar.google.com%2F&start=0,3.0,"https://scholar.google.com/scholar?cluster=3455668946480700593&hl=en&as_sdt=0,5&as_ylo=2012",3455668946480700593,https://serpapi.com/search.json?as_sdt=0%2C5&as_ylo=2012&cluster=3455668946480700593&engine=google_scholar&hl=en,
0,1,"Investigation the Safety, Health and Environment (SHE) protection in construction area",v1wFlniI5iMJ,Pdf,https://www.researchgate.net/profile/Khairul-Akmal-Shamsuddin/publication/282747785_Investigation_the_Safety_Health_and_Environment_SHE_Protection_in_Construction_Area/links/561b362908ae044edbb21146/Investigation-the-Safety-Health-and-Environment-SHE-Protection-in-Construction-Area.pdf,… causes of accident at construction sites in Malaysia. The main objectives of this paper are protecting safety health and environment in construction area. A construction safety plan is a …,"[{'title': 'researchgate.net', 'file_format': 'PDF', 'link': 'https://www.researchgate.net/profile/Khairul-Akmal-Shamsuddin/publication/282747785_Investigation_the_Safety_Health_and_Environment_SHE_Protection_in_Construction_Area/links/561b362908ae044edbb21146/Investigation-the-Safety-Health-and-Environment-SHE-Protection-in-Construction-Area.pdf'}]","KA Shamsuddin, MNC Ani, AK Ismail… - … Research Journal of …, 2015 - researchgate.net","[{'name': 'KA Shamsuddin', 'link': 'https://scholar.google.com/citations?user=RDAkCc4AAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=RDAkCc4AAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'RDAkCc4AAAAJ'}, {'name': 'MNC Ani', 'link': 'https://scholar.google.com/citations?user=SleeC0wAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=SleeC0wAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'SleeC0wAAAAJ'}, {'name': 'AK Ismail', 'link': 'https://scholar.google.com/citations?user=hgXzXn8AAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=hgXzXn8AAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'hgXzXn8AAAAJ'}]",https://serpapi.com/search.json?engine=google_scholar_cite&q=v1wFlniI5iMJ,71,"https://scholar.google.com/scholar?cites=2586905087465315519&as_sdt=2005&sciodt=0,5&hl=en",2586905087465315519,https://serpapi.com/search.json?as_sdt=2005&cites=2586905087465315519&engine=google_scholar&hl=en,"https://scholar.google.com/scholar?q=related:v1wFlniI5iMJ:scholar.google.com/&scioq=construction+safety+health&hl=en&as_sdt=0,5&as_ylo=2012",https://serpapi.com/search.json?as_sdt=0%2C5&as_ylo=2012&engine=google_scholar&hl=en&q=related%3Av1wFlniI5iMJ%3Ascholar.google.com%2F&start=0,,,,,"https://scholar.googleusercontent.com/scholar?q=cache:v1wFlniI5iMJ:scholar.google.com/+construction+safety+health&hl=en&as_sdt=0,5&as_ylo=2012"
0,2,Construction safety and digital design: A review,H5X5SkmKYZsJ,,https://www.sciencedirect.com/science/article/pii/S0926580511001452,"… for construction safety, this review article brings together these two strands. After outlining the legislation and practice of design for safety, … – to construction safety in general and to safety …","[{'title': 'reading.ac.uk', 'file_format': 'PDF', 'link': 'https://centaur.reading.ac.uk/22357/1/2012_AoC_Zhou_et_al_Construction_safety_and_digital_design_author_version.pdf'}]","W Zhou, J Whyte, R Sacks - Automation in Construction, 2012 - Elsevier","[{'name': 'J Whyte', 'link': 'https://scholar.google.com/citations?user=1El7kVgAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=1El7kVgAAAAJ&engine=google_scholar_author&hl=en', 'author_id': '1El7kVgAAAAJ'}, {'name': 'R Sacks', 'link': 'https://scholar.google.com/citations?user=nE3CkdQAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=nE3CkdQAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'nE3CkdQAAAAJ'}]",https://serpapi.com/search.json?engine=google_scholar_cite&q=H5X5SkmKYZsJ,278,"https://scholar.google.com/scholar?cites=11196382196014880031&as_sdt=2005&sciodt=0,5&hl=en",11196382196014880031,https://serpapi.com/search.json?as_sdt=2005&cites=11196382196014880031&engine=google_scholar&hl=en,"https://scholar.google.com/scholar?q=related:H5X5SkmKYZsJ:scholar.google.com/&scioq=construction+safety+health&hl=en&as_sdt=0,5&as_ylo=2012",https://serpapi.com/search.json?as_sdt=0%2C5&as_ylo=2012&engine=google_scholar&hl=en&q=related%3AH5X5SkmKYZsJ%3Ascholar.google.com%2F&start=0,8.0,"https://scholar.google.com/scholar?cluster=11196382196014880031&hl=en&as_sdt=0,5&as_ylo=2012",11196382196014880031,https://serpapi.com/search.json?as_sdt=0%2C5&as_ylo=2012&cluster=11196382196014880031&engine=google_scholar&hl=en,
0,3,Computer vision techniques for construction safety and health monitoring,pJlZtRmDpR8J,,https://www.sciencedirect.com/science/article/pii/S1474034615000269,"… industry has many domain-specific issues in safety and health monitoring … safety and health monitoring. In this section, current practices of safety and health monitoring in construction, …",,"JO Seo, SU Han, SH Lee, H Kim - Advanced Engineering Informatics, 2015 - Elsevier","[{'name': 'JO Seo', 'link': 'https://scholar.google.com/citations?user=egT87vMAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=egT87vMAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'egT87vMAAAAJ'}, {'name': 'SU Han', 'link': 'https://scholar.google.com/citations?user=RbArYJAAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=RbArYJAAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'RbArYJAAAAAJ'}, {'name': 'SH Lee', 'link': 'https://scholar.google.com/citations?user=yKWiYAUAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=yKWiYAUAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'yKWiYAUAAAAJ'}, {'name': 'H Kim', 'link': 'https://scholar.google.com/citations?user=o9OcmFkAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=o9OcmFkAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'o9OcmFkAAAAJ'}]",https://serpapi.com/search.json?engine=google_scholar_cite&q=pJlZtRmDpR8J,345,"https://scholar.google.com/scholar?cites=2280372932772993444&as_sdt=2005&sciodt=0,5&hl=en",2280372932772993444,https://serpapi.com/search.json?as_sdt=2005&cites=2280372932772993444&engine=google_scholar&hl=en,"https://scholar.google.com/scholar?q=related:pJlZtRmDpR8J:scholar.google.com/&scioq=construction+safety+health&hl=en&as_sdt=0,5&as_ylo=2012",https://serpapi.com/search.json?as_sdt=0%2C5&as_ylo=2012&engine=google_scholar&hl=en&q=related%3ApJlZtRmDpR8J%3Ascholar.google.com%2F&start=0,8.0,"https://scholar.google.com/scholar?cluster=2280372932772993444&hl=en&as_sdt=0,5&as_ylo=2012",2280372932772993444,https://serpapi.com/search.json?as_sdt=0%2C5&as_ylo=2012&cluster=2280372932772993444&engine=google_scholar&hl=en,
0,4,LCB approach for construction safety,ncudjp_PEJgJ,,https://www.sciencedirect.com/science/article/pii/S0925753520301582,"… improvement of construction safety performance. Focusing on the “human” related issues in construction safety, this paper reviews the research and practices of safety management and …",,"D Fang, Y Huang, H Guo, HW Lim - Safety science, 2020 - Elsevier","[{'name': 'HW Lim', 'link': 'https://scholar.google.com/citations?user=BwLXovkAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=BwLXovkAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'BwLXovkAAAAJ'}]",https://serpapi.com/search.json?engine=google_scholar_cite&q=ncudjp_PEJgJ,28,"https://scholar.google.com/scholar?cites=10957486177591872413&as_sdt=2005&sciodt=0,5&hl=en",10957486177591872413,https://serpapi.com/search.json?as_sdt=2005&cites=10957486177591872413&engine=google_scholar&hl=en,"https://scholar.google.com/scholar?q=related:ncudjp_PEJgJ:scholar.google.com/&scioq=construction+safety+health&hl=en&as_sdt=0,5&as_ylo=2012",https://serpapi.com/search.json?as_sdt=0%2C5&as_ylo=2012&engine=google_scholar&hl=en&q=related%3Ancudjp_PEJgJ%3Ascholar.google.com%2F&start=0,3.0,"https://scholar.google.com/scholar?cluster=10957486177591872413&hl=en&as_sdt=0,5&as_ylo=2012",10957486177591872413,https://serpapi.com/search.json?as_sdt=0%2C5&as_ylo=2012&cluster=10957486177591872413&engine=google_scholar&hl=en,
0,5,Construction safety practices and challenges in a Middle Eastern developing country,P5xZtT6Yym8J,,https://www.sciencedirect.com/science/article/pii/S0925753515002775,… awareness and implementation in the Lebanese construction sector … construction safety adoption and weaknesses in some developing countries and sheds light on the gap in safety …,,"R Awwad, O El Souki, M Jabbour - Safety science, 2016 - Elsevier","[{'name': 'R Awwad', 'link': 'https://scholar.google.com/citations?user=tOyC0z8AAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=tOyC0z8AAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'tOyC0z8AAAAJ'}]",https://serpapi.com/search.json?engine=google_scholar_cite&q=P5xZtT6Yym8J,126,"https://scholar.google.com/scholar?cites=8055418278603496511&as_sdt=2005&sciodt=0,5&hl=en",8055418278603496511,https://serpapi.com/search.json?as_sdt=2005&cites=8055418278603496511&engine=google_scholar&hl=en,"https://scholar.google.com/scholar?q=related:P5xZtT6Yym8J:scholar.google.com/&scioq=construction+safety+health&hl=en&as_sdt=0,5&as_ylo=2012",https://serpapi.com/search.json?as_sdt=0%2C5&as_ylo=2012&engine=google_scholar&hl=en&q=related%3AP5xZtT6Yym8J%3Ascholar.google.com%2F&start=0,5.0,"https://scholar.google.com/scholar?cluster=8055418278603496511&hl=en&as_sdt=0,5&as_ylo=2012",8055418278603496511,https://serpapi.com/search.json?as_sdt=0%2C5&as_ylo=2012&cluster=8055418278603496511&engine=google_scholar&hl=en,
0,6,A social network system for sharing construction safety and health knowledge,HH5zoHEl0hIJ,,https://www.sciencedirect.com/science/article/pii/S0926580514000028,"… This paper presents a social network system for coordinating and sharing construction safety and health information and knowledge in the construction industry, which are focused on …","[{'title': 'researchgate.net', 'file_format': 'PDF', 'link': 'https://www.researchgate.net/profile/Chansik-Park-3/publication/257935001_A_Social_Network_System_for_Sharing_Construction_Safety_and_Health_Knowledge/links/58d33bcbaca2723c0a777cf4/A-Social-Network-System-for-Sharing-Construction-Safety-and-Health-Knowledge.pdf'}]","QT Le, DY Lee, CS Park - Automation in Construction, 2014 - Elsevier","[{'name': 'CS Park', 'link': 'https://scholar.google.com/citations?user=ZxyYcIgAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=ZxyYcIgAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'ZxyYcIgAAAAJ'}]",https://serpapi.com/search.json?engine=google_scholar_cite&q=HH5zoHEl0hIJ,79,"https://scholar.google.com/scholar?cites=1356187607745396252&as_sdt=2005&sciodt=0,5&hl=en",1356187607745396252,https://serpapi.com/search.json?as_sdt=2005&cites=1356187607745396252&engine=google_scholar&hl=en,"https://scholar.google.com/scholar?q=related:HH5zoHEl0hIJ:scholar.google.com/&scioq=construction+safety+health&hl=en&as_sdt=0,5&as_ylo=2012",https://serpapi.com/search.json?as_sdt=0%2C5&as_ylo=2012&engine=google_scholar&hl=en&q=related%3AHH5zoHEl0hIJ%3Ascholar.google.com%2F&start=0,11.0,"https://scholar.google.com/scholar?cluster=1356187607745396252&hl=en&as_sdt=0,5&as_ylo=2012",1356187607745396252,https://serpapi.com/search.json?as_sdt=0%2C5&as_ylo=2012&cluster=1356187607745396252&engine=google_scholar&hl=en,
0,7,Construction Safety and Health in the USA: Lessons from a Decade of Turmoil,9-P6_nueB50J,,https://academic.oup.com/annweh/article-abstract/62/Supplement_1/S25/5096686,… employment as a construction worker. … a construction contractor and for becoming a construction worker. Some jurisdictions have established minimum occupational safety and health …,,"K Ringen, XS Dong, LM Goldenhar… - … Exposures and Health, 2018 - academic.oup.com","[{'name': 'XS Dong', 'link': 'https://scholar.google.com/citations?user=lKZO_lYAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=lKZO_lYAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'lKZO_lYAAAAJ'}]",https://serpapi.com/search.json?engine=google_scholar_cite&q=9-P6_nueB50J,22,"https://scholar.google.com/scholar?cites=11315186844187681783&as_sdt=2005&sciodt=0,5&hl=en",11315186844187681783,https://serpapi.com/search.json?as_sdt=2005&cites=11315186844187681783&engine=google_scholar&hl=en,"https://scholar.google.com/scholar?q=related:9-P6_nueB50J:scholar.google.com/&scioq=construction+safety+health&hl=en&as_sdt=0,5&as_ylo=2012",https://serpapi.com/search.json?as_sdt=0%2C5&as_ylo=2012&engine=google_scholar&hl=en&q=related%3A9-P6_nueB50J%3Ascholar.google.com%2F&start=0,4.0,"https://scholar.google.com/scholar?cluster=11315186844187681783&hl=en&as_sdt=0,5&as_ylo=2012",11315186844187681783,https://serpapi.com/search.json?as_sdt=0%2C5&as_ylo=2012&cluster=11315186844187681783&engine=google_scholar&hl=en,
0,8,Right-time vs real-time pro-active construction safety and health system architecture,nk4_gSc8BhgJ,,https://www.emerald.com/insight/content/doi/10.1108/CI-10-2015-0049/full/html,… construction safety and health domain are identified. A framework for right-time vs real-time construction safety and health presents the specific focus on automated safety and health …,,"J Teizer - Construction Innovation, 2016 - emerald.com","[{'name': 'J Teizer', 'link': 'https://scholar.google.com/citations?user=ToUJEEwAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=ToUJEEwAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'ToUJEEwAAAAJ'}]",https://serpapi.com/search.json?engine=google_scholar_cite&q=nk4_gSc8BhgJ,49,"https://scholar.google.com/scholar?cites=1731137247140335262&as_sdt=2005&sciodt=0,5&hl=en",1731137247140335262,https://serpapi.com/search.json?as_sdt=2005&cites=1731137247140335262&engine=google_scholar&hl=en,"https://scholar.google.com/scholar?q=related:nk4_gSc8BhgJ:scholar.google.com/&scioq=construction+safety+health&hl=en&as_sdt=0,5&as_ylo=2012",https://serpapi.com/search.json?as_sdt=0%2C5&as_ylo=2012&engine=google_scholar&hl=en&q=related%3Ank4_gSc8BhgJ%3Ascholar.google.com%2F&start=0,,,,,
0,9,Construction safety practices for covid-19,GTVqwfap6fIJ,,https://search.proquest.com/openview/ee501f6ffb1f30a98758bca1b4e3bca0/1?pq-origsite=gscholar&cbl=47267,"… by experienced safety professionals representing Safety Management Group, a safety, health and environmental consulting firm that specializes in construction and contractor safety …","[{'title': 'View it @ CTU', 'link': 'https://scholar.google.com/scholar?output=instlink&q=info:GTVqwfap6fIJ:scholar.google.com/&hl=en&as_sdt=0,5&as_ylo=2012&scillfp=17695148825364649573&oi=lle'}]","J Hollingsworth - Professional Safety, 2020 - search.proquest.com",,https://serpapi.com/search.json?engine=google_scholar_cite&q=GTVqwfap6fIJ,13,"https://scholar.google.com/scholar?cites=17503708304024155417&as_sdt=2005&sciodt=0,5&hl=en",17503708304024155417,https://serpapi.com/search.json?as_sdt=2005&cites=17503708304024155417&engine=google_scholar&hl=en,"https://scholar.google.com/scholar?q=related:GTVqwfap6fIJ:scholar.google.com/&scioq=construction+safety+health&hl=en&as_sdt=0,5&as_ylo=2012",https://serpapi.com/search.json?as_sdt=0%2C5&as_ylo=2012&engine=google_scholar&hl=en&q=related%3AGTVqwfap6fIJ%3Ascholar.google.com%2F&start=0,2.0,"https://scholar.google.com/scholar?cluster=17503708304024155417&hl=en&as_sdt=0,5&as_ylo=2012",17503708304024155417,https://serpapi.com/search.json?as_sdt=0%2C5&as_ylo=2012&cluster=17503708304024155417&engine=google_scholar&hl=en,
